id,name,full_name,language,stargazers_count
54346799,public-apis,public-apis/public-apis,Python,333785
83222441,system-design-primer,donnemartin/system-design-primer,Python,294121
21289110,awesome-python,vinta/awesome-python,Python,238139
63476337,Python,TheAlgorithms/Python,Python,198709
614765452,AutoGPT,Significant-Gravitas/AutoGPT,Python,173753
527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,Python,149862
155220641,transformers,huggingface/transformers,Python,141849
1039520,youtube-dl,ytdl-org/youtube-dl,Python,134794
307260205,yt-dlp,yt-dlp/yt-dlp,Python,105279
58028038,HelloGitHub,521xueweihan/HelloGitHub,Python,100187
908531752,DeepSeek-V3,deepseek-ai/DeepSeek-V3,Python,92964
33614304,thefuck,nvbn/thefuck,Python,91074
65600975,pytorch,pytorch/pytorch,Python,88201
4164482,django,django/django,Python,82846
160919119,fastapi,fastapi/fastapi,Python,82418
537603333,whisper,openai/whisper,Python,78814
51117837,models,tensorflow/models,Python,77460
12888993,core,home-assistant/core,Python,77290
32689863,manim,3b1b/manim,Python,76326
589831718,ComfyUI,comfyanonymous/ComfyUI,Python,72135
145553672,funNLP,fighting41love/funNLP,Python,71903
212639071,devops-exercises,bregman-arie/devops-exercises,Python,70932
718741813,screenshot-to-code,abi/screenshot-to-code,Python,69217
596892,flask,pallets/flask,Python,69165
616372661,gpt_academic,binary-husky/gpt_academic,Python,68002
101138315,d2l-zh,d2l-ai/d2l-zh,Python,67541
21872392,awesome-machine-learning,josephmisiti/awesome-machine-learning,Python,67322
81598961,cpython,python/cpython,Python,65914
3638964,ansible,ansible/ansible,Python,64392
71220757,PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,Python,64119
620936652,gpt4free,xtekky/gpt4free,Python,63904
162998479,sherlock,sherlock-project/sherlock,Python,63221
33015583,keras,keras-team/keras,Python,62748
843222,scikit-learn,scikit-learn/scikit-learn,Python,61532
54544023,new-pac,Alvin9999/new-pac,Python,59657
290091948,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,Python,59399
666299222,open-interpreter,OpenInterpreter/open-interpreter,Python,58890
71948498,localstack,localstack/localstack,Python,58179
601538369,llama,meta-llama/llama,Python,57921
635240594,private-gpt,zylon-ai/private-gpt,Python,55501
5483330,you-get,soimort/you-get,Python,55390
529502,scrapy,scrapy/scrapy,Python,54646
83844720,face_recognition,ageitgey/face_recognition,Python,54412
188660663,Real-Time-Voice-Cloning,CorentinJ/Real-Time-Voice-Cloning,Python,53803
634224458,gpt-engineer,AntonOsika/gpt-engineer,Python,53549
114747226,faceswap,deepfakes/faceswap,Python,53541
660551251,MetaGPT,geekan/MetaGPT,Python,53380
264818686,yolov5,ultralytics/yolov5,Python,53077
74627617,openpilot,commaai/openpilot,Python,52945
599320067,langflow,langflow-ai/langflow,Python,52727
1362490,requests,psf/requests,Python,52635
254832799,hackingtool,Z4nzu/hackingtool,Python,51977
220809393,rich,Textualize/rich,Python,51341
771302083,OpenHands,All-Hands-AI/OpenHands,Python,51178
773286980,grok-1,xai-org/grok-1,Python,50240
881458615,browser-use,browser-use/browser-use,Python,47756
262296122,PaddleOCR,PaddlePaddle/PaddleOCR,Python,47708
45723377,professional-programming,charlax/professional-programming,Python,47447
695864515,Deep-Live-Cam,hacksider/Deep-Live-Cam,Python,47243
40416236,big-list-of-naughty-strings,minimaxir/big-list-of-naughty-strings,Python,47039
222751131,30-Days-Of-Python,Asabeneh/30-Days-Of-Python,Python,45252
646410686,LLaMA-Factory,hiyouga/LLaMA-Factory,Python,45132
858127,pandas,pandas-dev/pandas,Python,44939
676676006,Fooocus,lllyasviel/Fooocus,Python,43957
743230067,GPT-SoVITS,RVC-Boss/GPT-SoVITS,Python,43042
580642043,text-generation-webui,oobabooga/text-generation-webui,Python,42970
599547518,vllm,vllm-project/vllm,Python,42500
680120071,autogen,microsoft/autogen,Python,42078
19745004,odoo,odoo/odoo,Python,41534
888092115,markitdown,microsoft/markitdown,Python,41308
4578002,python-patterns,faif/python-patterns,Python,41122
613349035,ChatGLM-6B,THUDM/ChatGLM-6B,Python,41013
422274596,ColossalAI,hpcaitech/ColossalAI,Python,40660
569927055,stablediffusion,Stability-AI/stablediffusion,Python,40597
237791077,diagrams,mingrammer/diagrams,Python,40470
83119431,ailearning,apachecn/ailearning,Python,40388
873328,sentry,getsentry/sentry,Python,40356
560704231,llama_index,run-llama/llama_index,Python,40317
582822129,nanoGPT,karpathy/nanoGPT,Python,40272
125266328,black,psf/black,Python,39958
943934999,OpenManus,mannaandpoem/OpenManus,Python,39399
33884891,airflow,apache/airflow,Python,39298
90563585,cheat.sh,chubin/cheat.sh,Python,39139
323048702,OpenBB,OpenBB-finance/OpenBB,Python,39049
154747577,bert,google-research/bert,Python,38893
70905478,Deep-Learning-Papers-Reading-Roadmap,floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,38865
265612440,TTS,coqui-ai/TTS,Python,38778
519832,mitmproxy,mitmproxy/mitmproxy,Python,38463
535360445,ultralytics,ultralytics/ultralytics,Python,38431
204086862,streamlit,streamlit/streamlit,Python,38338
587586087,WeChatMsg,LC044/WeChatMsg,Python,38244
615882673,FastChat,lm-sys/FastChat,Python,38175
235860204,DeepSpeed,deepspeedai/DeepSpeed,Python,37600
640079149,quivr,QuivrHQ/quivr,Python,37584
91629816,freqtrade,freqtrade/freqtrade,Python,37460
577603990,Open-Assistant,LAION-AI/Open-Assistant,Python,37265
162405963,gradio,gradio-app/gradio,Python,37023
118861276,python-cheatsheet,gto76/python-cheatsheet,Python,36988
191113739,interview_internal_reference,0voice/interview_internal_reference,Python,36852
349321229,GFPGAN,TencentARC/GFPGAN,Python,36475
